Kyiv,Київ
Novohrodivka,Новогродівка
Vuhledar,Вугледар
Berezan,Березань
Putyvl,Путивль
Bolhrad,Болград
Bar,Бар
Svaliava,Свалява
Bohuslav,Богуслав
Huliaipole,Гуляйполе
Zmiiv,Зміїв
Ovruch,Овруч
Verkhnodniprovsk,Верхньодніпровськ
Ochakiv,Очаків
Krasnohorivka,Красногорівка
Kivertsi,Ківерці
Pyriatyn,Пирятин
Mykolaivka,Миколаївка
Chasiv Yar,Часів Яр
Vilniansk,Вільнянськ
Dunaivtsi,Дунаївці
Apostolove,Апостолове
Talne,Тальне
Artsyz,Арциз
Novyi Buh,Новий Буг
Tulchyn,Тульчин
Haivoron,Гайворон
Horodok,Городок
Hola Prystan,Гола Пристань
Nosivka,Носівка
Zhashkiv,Жашків
Horodyshche,Городище
Vasylivka,Василівка
Kamianka-Dniprovska,Кам'янка-Дніпровська
Petrovske,Петровське
Beryslav,Берислав
Snihurivka,Снігурівка
Radomyshl,Радомишль
Burshtyn,Бурштин
Rakhiv,Рахів
Novhorod-Siverskyi,Новгород-Сіверський
Kamianka,Кам'янка
Tetiiv,Тетіїв
Mykolaiv,Миколаїв
Ostroh,Острог
Zelenodolsk,Зеленодольськ
Vakhrusheve,Боково-Хрустальне
Khorol,Хорол
Storozhynets,Сторожинець
Sudak,Судак
Siversk,Сіверськ
Koriukivka,Корюківка
Biliaivka,Біляївка
Hirnyk,Гірник
Ukrainka,Українка
Nova Odesa,Нова Одеса
Horodnia,Городня
Shchastia,Щастя
Kaharlyk,Кагарлик
Zhdanivka,Жданівка
Berezne,Березне
Terebovlia,Теребовля
Vynnyky,Винники
Rozhyshche,Рожище
Yavoriv,Яворів
Zhovkva,Жовква
Tarashcha,Тараща
Myronivka,Миронівка
Bershad,Бершадь
Ukrainsk,Українськ
Zbarazh,Збараж
Novomyrhorod,Новомиргород
Uzyn,Узин
Svitlodarsk,Світлодарськ
Soledar,Соледар
Bashtanka,Баштанка
Mala Vyska,Мала Виска
Irmino,Ірміно
Barvinkove,Барвінкове
Prymorsk,Приморськ
Mena,Мена
Hlobyne,Глобине
Hnivan,Гнівань
Komsomolske,Кальміуське
Ichnia,Ічня
Novoazovsk,Новоазовськ
Baranivka,Баранівка
Buchach,Бучач
Lokhvytsia,Лохвиця
Snovsk,Сновськ
Bobrynets,Бобринець
Nemyriv,Немирів
Kobeliaky,Кобеляки
Rodynske,Родинське
Chyhyryn,Чигирин
Bobrovytsia,Бобровиця
Sosnivka,Соснівка
Zhydachiv,Жидачів
Yampil,Ямпіль
Mospyne,Моспине
Borzna,Борзна
Shcholkine,Щолкіне
Buryn,Буринь
Kamianka-Buzka,Кам'янка-Бузька
Hrebinka,Гребінка
Khrystynivka,Христинівка
Hirske,Гірське
Tavriisk,Таврійськ
Borshchiv,Борщів
Zymohiria,Зимогір'я
Khotyn,Хотин
Illintsi,Іллінці
Pomichna,Помічна
Olevsk,Олевськ
Kamin-Kashyrskyi,Камінь-Каширський
Tatarbunary,Татарбунари
Pohrebyshche,Погребище
Marinka,Мар'їнка
Bolekhiv,Болехів
Inkerman,Інкерман
Zinkiv,Зіньків
Khodoriv,Ходорів
Sniatyn,Снятин
Derazhnia,Деражня
Liuboml,Любомль
Valky,Валки
Novodnistrovsk,Новодністровськ
Radyvyliv,Радивилів
Vuhlehirsk,Вуглегірськ
Sokyriany,Сокиряни
Verkhivtseve,Верхівцеве
Zalishchyky,Заліщики
Staryi Krym,Старий Крим
